25532144;41.17271;-8.594767;-0.150007;0.7185993
25532145;41.17233;-8.594706;-0.1500059;0.7185928
25532146;41.17187;-8.594455;-0.1500015;0.7185847
25532185;41.17102;-8.596411;-0.1500357;0.7185699
25532186;41.1711;-8.596111;-0.1500304;0.7185712
25532189;41.17157;-8.595664;-0.1500226;0.7185794
25532193;41.17267;-8.595076;-0.1500124;0.7185986
25532197;41.1731;-8.594989;-0.1500109;0.7186061
25532199;41.17263;-8.595343;-0.150017;0.7185979
25532200;41.17234;-8.59566;-0.1500226;0.7185929
25532201;41.17204;-8.596209;-0.1500321;0.7185877
25532202;41.17196;-8.596435;-0.1500361;0.7185863
25532206;41.17118;-8.596909;-0.1500444;0.7185727
25532207;41.17108;-8.596809;-0.1500426;0.7185709
25532208;41.17095;-8.59621;-0.1500322;0.7185686
25532209;41.1711;-8.595933;-0.1500273;0.7185712
25532210;41.17155;-8.595545;-0.1500206;0.7185792
25532211;41.17208;-8.595221;-0.1500149;0.7185884
25532212;41.17268;-8.594954;-0.1500102;0.7185988
25532222;41.17209;-8.595332;-0.1500168;0.7185886
26015879;41.17135;-8.593886;-0.1499916;0.7185757
26015880;41.17103;-8.593648;-0.1499874;0.7185701
26015881;41.17167;-8.594523;-0.1500027;0.7185811
26015882;41.17125;-8.593961;-0.1499929;0.7185738
26015883;41.17178;-8.594834;-0.1500082;0.718583
26015884;41.17168;-8.594868;-0.1500087;0.7185813
26015885;41.17185;-8.595151;-0.1500137;0.7185844
26015887;41.17189;-8.59615;-0.1500311;0.718585
26015888;41.17176;-8.595296;-0.1500162;0.7185829
26015889;41.17178;-8.597096;-0.1500476;0.7185832
26015890;41.17164;-8.597113;-0.1500479;0.7185807
26015891;41.17166;-8.597651;-0.1500573;0.718581
26015892;41.17146;-8.598083;-0.1500649;0.7185774
26015899;41.17162;-8.604229;-0.1501721;0.7185804
26015900;41.1715;-8.604259;-0.1501726;0.7185783
26015901;41.17175;-8.60499;-0.1501854;0.7185826
26015902;41.17163;-8.605023;-0.150186;0.7185806
26015903;41.17192;-8.605606;-0.1501962;0.7185857
26015904;41.17182;-8.605692;-0.1501977;0.7185838
26015905;41.17217;-8.606189;-0.1502063;0.7185899
26015906;41.17204;-8.606219;-0.1502069;0.7185877
26015907;41.17251;-8.606783;-0.1502167;0.7185959
26015908;41.17243;-8.606877;-0.1502184;0.7185944
26057762;41.18099;-8.594048;-0.1499944;0.7187439
